ID;Name
72881;г. Байконур
67528;Алтайский край
67175;Краснодарcкий край
71678;Красноярский край
70162;Приморский край
67180;Ставропольский кРеспублика
70364;Хабаровский край
67182;Амурская область
52104;Архангельская область
67160;Астраханская область
52590;Белгородская область
52591;Брянская область
52592;Владимирская область
67594;Волгоградская область
52570;Вологодская область
52593;Воронежская область
67604;Нижегородская область
52594;Ивановская область
47830;Иркутская область
29235;Республика Ингушетия
52571;Калининградская область
52595;Тверская область
52596;Калужская область
67624;Камчатский край
67664;Кемеровская область
67607;Кировская область
52597;Костромская область
72884;Республика Крым
67601;Самарская область
52579;Курганская область
52598;Курская область
52572;г. Санкт-Петербург
52573;Ленинградская область
52599;Липецкая область
70362;Магаданская область
46302;г. Москва
52601;Московская область
52574;Мурманская область
52575;Новгородская область
67162;Новосибирская область
67132;Омская область
52561;Оренбургская область
52602;Орловская область
67602;Пензенская область
67191;Пермский край
52576;Псковская область
52550;Ростовская область
52109;Рязанская область
67600;Саратовская область
54741;Сахалинская область
52580;Свердловская область
52603;Смоленская область
72885;г. Севастополь
52604;Тамбовская область
71696;Томская область
42679;Тульская область
72971;Тюменская область
67610;Ульяновская область
67522;Челябинская область
71697;Забайкальский край
70155;Чукотский АО
52606;Ярославская область
67592;Республика Адыгея
67599;Республика Башкортостан
71698;Республика Бурятия
68218;Республика Дагестан
68983;Республика Кабардино-Балкария
71694;Республика Алтай
67598;Республика Калмыкия
52577;Республика Карелия
52578;Республика Коми
67605;Республика Марий Эл
67606;Республика Мордовия
68985;Республика Северная Осетия-Алания
68970;Республика Карачаево-Черкессия
67603;Республика Татарстан
71692;Республика Тыва
67609;Республика Удмуртия
70611;Республика Хакасия
67178;Чеченская республика
67608;Республика Чувашия
40870;Республика Саха (Якутия)
70609;Еврейская АО
72525;Ненецкий АО
72968;Ханты-Мансийский АО
72970;Ямало-Ненецкий АО
